,description_id,listing_id,tag
11636,66689,4216,Excel
11637,66694,4218,Excel
11638,66699,4219,SQL
11639,66700,4219,ETL
11640,66701,4219,Java
11641,66701,4219,Javascript
11642,66701,4219,Python
11643,66701,4219,Shell
11644,66703,4219,Testing
11645,66704,4219,Java
11646,66704,4219,Javascript
11647,66704,4219,Python
11648,66704,4219,Shell
11649,66705,4219,SQL
11650,66712,4220,Excel
11651,66713,4220,Excel
11652,66739,4223,Testing
11653,66743,4223,Matlab
11654,66743,4223,Python
11655,66760,4223,OOP
11656,66775,4224,Excel
11657,66776,4224,Testing
11658,66777,4224,AWS
11659,66810,4226,C#
11660,66812,4226,Testing
11661,66831,4228,Scala
11662,66832,4228,Testing
11663,66840,4228,Java
11664,66843,4228,Testing
11665,66861,4229,Python
11666,66863,4229,Python
11667,66876,4231,Scala
11668,66895,4231,Excel
11669,66897,4231,Excel
11670,66926,4233,Testing
11671,66934,4233,Excel
11672,66952,4234,Excel
11673,66964,4236,OOP
11674,66991,4238,Excel
11675,66995,4239,Azure
11676,67050,4242,Excel
11677,67054,4242,Excel
11678,67070,4244,AWS
11679,67073,4244,Java
11680,67078,4246,Excel
11681,67104,4248,Excel
11682,67109,4249,SQL
11683,67110,4249,ETL
11684,67111,4249,Java
11685,67111,4249,Javascript
11686,67111,4249,Python
11687,67111,4249,Shell
11688,67113,4249,Testing
11689,67114,4249,Java
11690,67114,4249,Javascript
11691,67114,4249,Python
11692,67114,4249,Shell
11693,67115,4249,SQL
11694,67155,4253,Excel
11695,67159,4253,Excel
11696,67195,4257,Excel
11697,67196,4257,Testing
11698,67197,4257,AWS
11699,67225,4261,Java
11700,67225,4261,Javascript
11701,67228,4261,D3
11702,67231,4261,Testing
11703,67233,4261,Java
11704,67233,4261,Javascript
11705,67238,4262,Excel
11706,67264,4263,Excel
11707,67269,4264,SQL
11708,67270,4264,ETL
11709,67271,4264,Java
11710,67271,4264,Javascript
11711,67271,4264,Python
11712,67271,4264,Shell
11713,67273,4264,Testing
11714,67274,4264,Java
11715,67274,4264,Javascript
11716,67274,4264,Python
11717,67274,4264,Shell
11718,67275,4264,SQL
11719,67283,4265,Excel
11720,67284,4265,Excel
11721,67378,4268,AWS
11722,67379,4268,AWS
11723,67397,4269,OOP
11724,67434,4272,Testing
11725,67438,4272,Matlab
11726,67438,4272,Python
11727,67455,4272,OOP
11728,67481,4273,OOP
11729,67516,4275,Excel
11730,67543,4277,Git
11731,67545,4277,SQL
11732,67574,4279,SQL
11733,67575,4279,ETL
11734,67576,4279,Java
11735,67576,4279,Javascript
11736,67576,4279,Python
11737,67576,4279,Shell
11738,67578,4279,Testing
11739,67579,4279,Java
11740,67579,4279,Javascript
11741,67579,4279,Python
11742,67579,4279,Shell
11743,67580,4279,SQL
11744,67593,4280,Excel
11745,67597,4280,Excel
11746,67609,4281,Excel
11747,67610,4281,Excel
11748,67643,4283,OOP
11749,67667,4284,Excel
11750,67668,4284,Testing
11751,67669,4284,AWS
11752,67676,4285,C#
11753,67676,4285,C++
11754,67676,4285,Java
11755,67678,4285,Excel
11756,67706,4287,OOP
11757,67733,4289,AWS
11758,67736,4289,Java
11759,67755,4292,Java
11760,67755,4292,Javascript
11761,67758,4292,D3
11762,67761,4292,Testing
11763,67763,4292,Java
11764,67763,4292,Javascript
11765,67778,4293,Excel
11766,67783,4294,Excel
11767,67792,4295,Excel
11768,67793,4295,Testing
11769,67794,4295,AWS
11770,67822,4297,C#
11771,67822,4297,C++
11772,67822,4297,Java
11773,67824,4297,Excel
11774,67846,4300,Scala
11775,67847,4300,Testing
11776,67855,4300,Java
11777,67858,4300,Testing
11778,67876,4301,Python
11779,67878,4301,Python
11780,67884,4302,AWS
11781,67887,4302,Java
11782,67930,4306,Java
11783,67930,4306,Javascript
11784,67933,4306,D3
11785,67936,4306,Testing
11786,67938,4306,Java
11787,67938,4306,Javascript
11788,67943,4307,Excel
11789,67962,4308,Testing
11790,67970,4308,Excel
11791,67979,4311,Python
11792,67979,4311,SQL
11793,67981,4311,Python
11794,67981,4311,SQL
11795,67981,4311,Tableau
11796,67983,4311,Tableau
11797,67984,4311,Git
11798,67984,4311,Tableau
11799,67986,4311,Excel
11800,67987,4311,Python
11801,67987,4311,SQL
11802,67991,4313,Scala
11803,67994,4313,Linux
11804,67994,4313,MySQL
11805,67994,4313,SQL
11806,67999,4313,Shell
11807,68005,4313,AWS
11808,68006,4313,Excel
11809,68010,4313,Linux
11810,68015,4313,MySQL
11811,68015,4313,SQL
11812,68028,4313,AWS
11813,68029,4313,Shell
11814,68030,4313,Linux
11815,68063,4314,Excel
11816,68098,4315,Testing
11817,68100,4315,Testing
11818,68118,4317,Excel
11819,68125,4318,OOP
11820,68193,4319,OOP
11821,68226,4321,Excel
11822,68227,4321,Testing
11823,68228,4321,AWS
11824,68258,4323,Testing
11825,68266,4323,Excel
11826,68306,4326,Testing
11827,68313,4326,Testing
11828,68335,4328,Excel
11829,68336,4328,Excel
11830,68394,4329,OOP
11831,68460,4332,C#
11832,68462,4332,Testing
11833,68477,4333,Excel
11834,68491,4334,Scala
11835,68492,4334,Testing
11836,68500,4334,Java
11837,68503,4334,Testing
11838,68519,4335,Git
11839,68521,4335,SQL
11840,68526,4336,Java
11841,68526,4336,Javascript
11842,68529,4336,D3
11843,68532,4336,Testing
11844,68534,4336,Java
11845,68534,4336,Javascript
11846,68539,4337,Excel
11847,68565,4338,Excel
11848,68570,4339,SQL
11849,68571,4339,ETL
11850,68572,4339,Java
11851,68572,4339,Javascript
11852,68572,4339,Python
11853,68572,4339,Shell
11854,68574,4339,Testing
11855,68575,4339,Java
11856,68575,4339,Javascript
11857,68575,4339,Python
11858,68575,4339,Shell
11859,68576,4339,SQL
11860,68601,4341,Excel
11861,68682,4344,Python
11862,68684,4344, R 
11863,68684,4344,SAS
11864,68686,4344,Keras
11865,68686,4344,PyTorch
11866,68687,4344,SQL
11867,68688,4344,D3
11868,68688,4344,Tableau
11869,68690,4344,Git
11870,68694,4346,Azure
11871,68694,4346,Data Lake
11872,68694,4346,Redshift
11873,68694,4346,SQL
11874,68694,4346,Shell
11875,68696,4346,ETL
11876,68697,4346,Data Lake
11877,68698,4346,C#
11878,68698,4346,Java
11879,68698,4346,Javascript
11880,68698,4346,Python
11881,68699,4346,Tableau
11882,68701,4346,Excel
11883,68722,4347,Excel
11884,68723,4347,Excel
11885,68740,4348,OOP
11886,68775,4349,OOP
11887,68799,4350,Excel
11888,68800,4350,Testing
11889,68801,4350,AWS
11890,68808,4351,C#
11891,68808,4351,C++
11892,68808,4351,Java
11893,68810,4351,Excel
11894,68825,4353,Scala
11895,68826,4353,Testing
11896,68834,4353,Java
11897,68837,4353,Testing
11898,68856,4355,Excel
11899,68857,4355,Testing
11900,68858,4355,AWS
11901,68886,4357,C#
11902,68886,4357,C++
11903,68886,4357,Java
11904,68888,4357,Excel
11905,68910,4360,Scala
11906,68911,4360,Testing
11907,68919,4360,Java
11908,68922,4360,Testing
11909,68940,4361,Python
11910,68942,4361,Python
11911,68948,4362,AWS
11912,68951,4362,Java
11913,68994,4366,Java
11914,68994,4366,Javascript
11915,68997,4366,D3
11916,69000,4366,Testing
11917,69002,4366,Java
11918,69002,4366,Javascript
11919,69007,4367,Excel
11920,69026,4368,Testing
11921,69034,4368,Excel
11922,69062,4370,Excel
11923,69084,4372,Testing
11924,69086,4372,Testing
11925,69151,4376,test driven
11926,69152,4376,Excel
11927,69198,4378,Excel
11928,69200,4379,OOP
11929,69295,4384,Java
11930,69295,4384,Javascript
11931,69298,4384,D3
11932,69301,4384,Testing
11933,69303,4384,Java
11934,69303,4384,Javascript
11935,69337,4387,Scala
11936,69338,4387,Scala
11937,69339,4387,Data Pipeline
11938,69342,4387,Data Pipeline
11939,69353,4387,AWS
11940,69354,4387,Pyspark
11941,69354,4387,Python
11942,69354,4387,Spark
11943,69355,4387,Hadoop
11944,69355,4387,Hive
11945,69355,4387,OOP
11946,69356,4387,Hadoop
11947,69356,4387,OOP
11948,69386,4390,Excel
11949,69415,4392,Python
11950,69415,4392,SQL
11951,69432,4393,Excel
11952,69449,4394,OOP
11953,69494,4396,C#
11954,69494,4396,C++
11955,69494,4396,Java
11956,69496,4396,Excel
11957,69508,4398,Java
11958,69508,4398,Javascript
11959,69511,4398,D3
11960,69514,4398,Testing
11961,69516,4398,Java
11962,69516,4398,Javascript
11963,69524,4399,Testing
11964,69532,4399,Excel
11965,69539,4400,Hbase
11966,69539,4400,Hive
11967,69539,4400,OOP
11968,69539,4400,Pig
11969,69539,4400,Spark
11970,69540,4400,Java
11971,69540,4400,Python
11972,69540,4400,Scala
11973,69540,4400,Testing
11974,69541,4400,Data Pipeline
11975,69542,4400,Testing
11976,69543,4400,Testing
11977,69544,4400,Git
11978,69545,4400,Data Lake
11979,69548,4400,ETL
11980,69548,4400,NoSQL
11981,69548,4400,SQL
11982,69560,4400,NoSQL
11983,69560,4400,SQL
11984,69561,4400,Hadoop
11985,69561,4400,OOP
11986,69565,4400,ETL
11987,69578,4401,Java
11988,69580,4401,ETL
11989,69581,4401,SQL
11990,69583,4401,Testing
11991,69586,4401,ETL
11992,69586,4401,SQL
11993,69614,4403,Testing
11994,69620,4403,Testing
11995,69623,4403,Testing
11996,69624,4403,Excel
11997,69624,4403,Matlab
11998,69626,4403,Object Oriented
11999,69629,4403,C++
12000,69629,4403,Linux
12001,69629,4403,Python
12002,69630,4403,AWS
